ID	Type	Title	Games	Authors	Date	Tags	Description	Update	Embed	URL	SourceURL
p4g-sivispacemparabellum	mod	Si vis Pacem, Para Bellum	p4g32	ANGEL1234-1	09/09/2021		My first mod, I could probably have chosen something easier like replacing some sprites but I wanted to do something cool.<br><br>This mod makes the Luger P ...		https://images.gamebanana.com/img/ss/mods/6135502c5e7c7.jpg	https://gamebanana.com/mods/319825	
p4g-redsummoningeffect	mod	Red summoning effect	p4g32	Pioziomgames	08/28/2021	Effect	Makes the effect when summoning personas red.		https://images.gamebanana.com/img/ss/mods/612a6b6d45f5f.jpg	https://gamebanana.com/mods/317646	
p4g-yaranaikacards	mod	Yaranaika Cards	p4g32	QuinnocentBystander	08/26/2021	Arcana UI	Replaces the Star and Sun cards with the funny meme face. Changes in SL cutscenes, SL stats, and Shuffle Time.		https://images.gamebanana.com/img/ss/mods/61270637e2edd.jpg	https://gamebanana.com/mods/317013	
p4g-betterfishing	mod	Better Fishing	p4g32	AnimatedSwine37	07/17/2021	Misc	Removes the randomness from fishing by making each bait always give the same fish (except Tatsuhime Ladybug). These changes are reflected in the descr ...		https://images.gamebanana.com/img/ss/mods/60f2c5aa349d5.jpg	https://gamebanana.com/mods/305697	
p4g-persona4goldendiscordrichpresencesupport	mod	Persona 4 Golden Discord Rich Presence Support	p4g32	AnimatedSwine37	08/14/2022	Misc	A Reloaded-II mod that adds discord rich presence support to Persona 4 Golden PC.<br><br>Compatibility<br>This mod has only been tested on REV2033 of the game  ...	<b>Updated 08/14/2022</b>	https://images.gamebanana.com/img/ss/mods/60daeec70c989.jpg	https://gamebanana.com/mods/299970	
p4g-sukuna-hikonainspired2ndand3rdnaotopersonas	mod	Sukuna-Hikona Inspired 2nd and 3rd Naoto Personas	p4g32	MadMax1960	06/26/2021	Persona Skin	Makes Naoto's 2nd and 3rd tier persons match Sakuna's color scheme. Wasn't a huge fan of Atlus's weird white shades on her 2nd tier and fire red on 3r ...		https://images.gamebanana.com/img/ss/mods/60d6c4c3f1ae2.jpg	https://gamebanana.com/mods/299007	
p4g-persona5royalskillicons	mod	Persona 5 Royal Skill Icons	p4g32	SourGummyes	06/28/2021	User Interface UI	Using the Persona 5 Royal icons, i've edited the P5 icons into the P4 square icons, with some changes to stretching to make it work a bit better. Two  ...	<b>Updated 06/28/2021</b>	https://images.gamebanana.com/img/ss/mods/60da4bbd12a20.jpg	https://gamebanana.com/mods/298845	
p4g-betterquizzes	mod	Better Quizzes	p4g32	AnimatedSwine37	08/18/2022	Misc	Adds an option to repeat the question to quizzes where the question is over multiple messages.<br><br>Specifically, this adds the option to all of the Funky ...	<b>Updated 08/18/2022</b>	https://images.gamebanana.com/img/ss/mods/60d424c90c219.jpg	https://gamebanana.com/mods/298377	
p4g-jaysstupiddumbexpansion	mod	Jay's Stupid & Dumb Expansion	p4g32	JayTheTaco	03/06/2022		1. Introduction<br>Jay's Stupid & Dumb Expansion (JSDE for short) is a mod that expands Persona 4 Golden's Combat. At the moment it only does this by add ...	<b>Updated 03/06/2022</b>	https://images.gamebanana.com/img/ss/mods/60d3eea6e607f.jpg	https://gamebanana.com/mods/298363	
p4g-lessflatcharacters	mod	Less flat Characters	p4g32	Simoazzo	10/24/2021	Skin	After a really long time and a lot of work, I am publishing this as a proper mod. <br>My intent when doing mods is to improve the game's aspect and give  ...	<b>Updated 10/24/2021</b>	https://images.gamebanana.com/img/ss/mods/60d395e80631b.jpg	https://gamebanana.com/mods/298246	
p4g-improvednaotosociallink	mod	Improved Naoto Social Link	p4g32	MadMax1960	06/23/2021		The main purpose of this mod is to give Naoto Social Link a better feel and flow for her romance Route. The changes that have been made, while small,  ...		https://images.gamebanana.com/img/ss/mods/60d3177a8fa0e.jpg	https://gamebanana.com/mods/298103	
p4g-nonawkwardsystemmenu	mod	Non Awkward System Menu	p4g32	Pioziomgames	06/20/2021	User Interface UI	This mod changes text in the system menu to be less awkward and outdated.		https://images.gamebanana.com/img/ss/mods/60ce9e24bc317.jpg	https://gamebanana.com/mods/296992	
p4g-inheritsignatureskills	mod	Inherit Signature Skills	p4g32	JayTheTaco	06/24/2021	Skills	This mod alters skill inheritance for Signature, Non-transferable skills so that they can now be inherited.<br><br>This means that the following skills are  ...	<b>Updated 06/24/2021</b>	https://images.gamebanana.com/img/ss/mods/60ce5c4b6fa43.jpg	https://gamebanana.com/mods/296909	
p4g-tohrudojima	mod	Tohru Dojima	p4g32	MonkeyChungus21	06/12/2021	Adachi Skin	We live in a society<br><br>Replaces Adachi's bustups with this blursed monstrosity<br><br>For the best results use KilljoyTails' mod		https://images.gamebanana.com/img/ss/mods/60c45eebaa13b.jpg	https://gamebanana.com/mods/294574	
p4g-p5personamodelbackport	mod	P5 Persona Model Backport	p4g32	Light1	01/28/2022	Persona Skin	Warning: When using this mod, don't spend too long looking through models in the persona compendium, it tends to cause the game to crash.<br><br>This mod ba ...	<b>Updated 01/28/2022</b>	https://images.gamebanana.com/img/ss/mods/60c4155a20aaa.jpg	https://gamebanana.com/mods/294542	
p4g-unmissablebooks	mod	Unmissable Books	p4g32	AnimatedSwine37	08/19/2022	Misc	This quality of life mod gives you a second chance (at a cost) to acquire the following missable books by making them purchasable from the previously  ...	<b>Updated 08/19/2022</b>	https://images.gamebanana.com/img/ss/mods/60c0b6d8c3863.jpg	https://gamebanana.com/mods/293809	
p4g-finalfantasy-styledlogo	mod	Final Fantasy-Styled Logo	p4g32	MonkeyChungus21	06/05/2021	UI	Replaces the title screen logo with a Final Fantasy-Styled one.		https://images.gamebanana.com/img/ss/mods/60bb1c1251732.jpg	https://gamebanana.com/mods/292600	
p4g-persona4theanimationopening1	mod	Persona 4: The Animation Opening 1	p4g32	MonkeyChungus21	06/10/2021	Cutscenes/FMV	Replaces the GOLDEN Opening with the first opening from the anime.	<b>Updated 06/10/2021</b>	https://images.gamebanana.com/img/ss/mods/60bab67737e4d.jpg	https://gamebanana.com/mods/292502	
p4g-expandedbustups	mod	Expanded Bustups	p4g32	wxnder	03/12/2022	Misc	This mod expands some of the bustups in P4G<br><br>This adds bustups to the True Culprit battle, The Velvet Room Attendant battle and the Principal in Gekko ...	<b>Updated 03/12/2022</b>	https://images.gamebanana.com/img/ss/mods/60f05d5be20c3.jpg	https://gamebanana.com/mods/292002	
p4g-readinthelibrary	mod	Read In The Library	p4g32	AnimatedSwine37	10/27/2021	Misc	Allows you to read books in the school library.<br><br>Compatibility<br>This mod is compatible with my other book-related mod, Hyperspeed Reading+ (if you don' ...	<b>Updated 10/27/2021</b>	https://images.gamebanana.com/img/ss/mods/60b3207c51608.jpg	https://gamebanana.com/mods/290836	
p4g-cranegamerebalanced	mod	Crane Game Rebalanced	p4g32	AnimatedSwine37	08/23/2021	Misc	This mod rebalances the crane game to make it less tedious. <br><br>Normally, you would pay 100 yen for one try. Days that end with 0, 2 and 6 (10th, 12th,  ...	<b>Updated 08/23/2021</b>	https://images.gamebanana.com/img/ss/mods/60b30fe3a9b02.jpg	https://gamebanana.com/mods/290821	
p4g-animatedlogoforsteam	mod	Animated Logo for Steam	p4g32	Pixelguin	05/17/2021	Resource	This is an animated version of the P4G logo that can be applied to your Steam library.<br><br>Instructions<br><br>• Launch Steam and navigate to Persona 4 Golden  ...		https://images.gamebanana.com/img/ss/mods/60a2f3eddb001.jpg	https://gamebanana.com/mods/287241	
p4g-badapplemod	mod	Bad Apple!! mod	p4g32	Pioziomgames	05/13/2021	Misc Texture	IMPORTANT!!<br>This mod is not compatible with Aemulus<br>Why?<br>Well it replaces 26 643 files which makes aemulus building process super slow, but don't worr ...		https://images.gamebanana.com/img/ss/mods/609d7e3781602.jpg	https://gamebanana.com/mods/285925	
p4g-kintoki-doujipicaromod	mod	Kintoki-Douji Picaro Mod	p4g32	S Tier Leone	05/13/2021	Misc Texture	A re-texture for Teddie's Kintoki-Douji. Only affects the battle model, not the awakening cutscenes or its evolutions. <br><br>Thanks to Woomy for suggestin ...		https://images.gamebanana.com/img/ss/mods/609d5da56b5b6.jpg	https://gamebanana.com/mods/285881	
p4g-fumosona	mod	Fumosona	p4g32	Pioziomgames	05/12/2021	Misc	I made this mod a month ago but only released it on rose golden discord so it's kinda old and I haven't added anything to it since then. <br><br>It adds Fum ...		https://images.gamebanana.com/img/ss/mods/609b90478d88a.jpg	https://gamebanana.com/mods/285496	
p4g-magatsujiraiyapicaromod	mod	Magatsu Jiraiya Picaro Mod	p4g32	S Tier Leone	05/11/2021	Misc Texture	A scrapped idea that was initially part of another mod, so I figured I'd upload it here since I already had the assets. It doesn't affect his upgraded ...		https://images.gamebanana.com/img/ss/mods/609aec9d035bf.jpg	https://gamebanana.com/mods/285366	
p4g-epiloguebattlecostumesspoilers	mod	Epilogue battle costumes [Spoilers]	p4g32	Pioziomgames	07/01/2022	All playable characters Skin	This mod replaces everyone's default clothes with their epilogue ones.<br><br>For Teddie it replaces summer clothes cause his default one is his costume and ...	<b>Updated 07/01/2022</b>	https://images.gamebanana.com/img/ss/mods/608ff430a68bf.jpg	https://gamebanana.com/mods/250391	
p4g-yukikofromdrakeandjosh	mod	Yukiko From Drake and Josh	p4g32	Barkode	11/14/2020	Yukiko Skin	Replaces Yukiko with Josh from Drake and Josh, best used alongside Chie from Drake and Josh by arelevantname https://gamebanana.com/skins/179449<br><br>Requ ...		https://images.gamebanana.com/img/ss/mods/5fb04af506b69.jpg	https://gamebanana.com/mods/250390	
p4g-redneofeathermanyukiko	mod	Red Neo Featherman Yukiko	p4g32	AYukikoSimp	11/30/2020	Yukiko Skin	welcome everyone to my first mod, this mod makes Yukiko's wish to be the red Neo Featherman come true.<br><br>the changes are:<br><br>-Yukiko now has Neo Featherm ...	<b>Updated 11/30/2020</b>	https://images.gamebanana.com/img/ss/mods/5f91ee4e37d14.jpg	https://gamebanana.com/mods/250389	
p4g-dojimablinks	mod	Dojima Blinks	p4g32	Pixelguin	05/02/2022	Dojima Skin	Thanks to the latest advancements in tear duct optimization, Dojima's neutral talksprite can finally blink again instead of doing that creepy thing wh ...	<b>Updated 05/02/2022</b>	https://images.gamebanana.com/img/ss/mods/60c838c257421.jpg	https://gamebanana.com/mods/250388	
p4g-catboydojima	mod	Catboy Dojima	p4g32	Krestel	01/22/2021	Dojima Skin	Makes Dojima a catboy. Original sprite edit by the incredible Vincent.<br><br>Right now this only changes his sprites and his welcome home messages (I think ...		https://images.gamebanana.com/img/ss/mods/600a61868b625.jpg	https://gamebanana.com/mods/250387	
p4g-dojimaanimeshadeskin	mod	Dojima Anime Shade Skin	p4g32	Magusbear	03/12/2021	Dojima Skin	Completely redid Dojimas texture so it looks more like his bustup (and closer to how Persona 5 models look).<br><br>Obviously Persona 4 Golden's shader does ...		https://images.gamebanana.com/img/ss/mods/604c7a021c896.jpg	https://gamebanana.com/mods/250386	
p4g-monokumaoverteddie	mod	Monokuma over Teddie	p4g32	nonsensicaldreamer	03/27/2021	Teddie Skin	As the title and images state, our "lovable" bear, Teddie, has been turned into... Uh... Whatever Monokuma is.<br><br>This is my first sprite mod, so, apolo ...		https://images.gamebanana.com/img/ss/mods/605eae09383ca.jpg	https://gamebanana.com/mods/250385	
p4g-persona420goldenpc	mod	Persona 420 Golden (PC)	p4g32	swindlesmccoop	08/02/2020	Yosuke Skin	Development History<br>When P4G was ported to PC, I knew that modding would run rampant. One of my favorite videos of all time is "Persona 420 Mod - Down ...		https://images.gamebanana.com/img/ss/mods/5f2657d714a32.jpg	https://gamebanana.com/mods/250384	
p4g-alwayspresentdragyosuke	mod	Always present drag Yosuke	p4g32	Erge	08/21/2020	Yosuke Skin	Replaces all of Yosuke models and bustups with drag Yosuke. <br>Animations can be wonky at times, i might fix it in the future.<br><br>If you see an original y ...		https://images.gamebanana.com/img/ss/mods/5f3fc3dd9c4a4.jpg	https://gamebanana.com/mods/250383	
p4g-yanshu-chiyosuke	mod	Yan Shu-Chi Yosuke	p4g32	Yosuke Hanamura	08/25/2020	Yosuke Skin	THE SPRITES IN THIS MOD ARE NOT MINE. ALL CREDIT GOES TO THE CREATORS AND PUBLISHERS OF NEKOJISHI.<br><br>This mod replaces every Yosuke bustup sprite in th ...		https://images.gamebanana.com/img/ss/mods/5f47f33e1886d.jpg	https://gamebanana.com/mods/250382	
p4g-p4gegirlnanakomod	mod	P4G Egirl Nanako Mod	p4g32	remdevv	07/29/2020	Nanako Skin	This mod replaces ALL of Nanako's sprites and textures with a more "emo" version of her.	<b>Updated 07/29/2020</b>	https://images.gamebanana.com/img/ss/mods/5f1b1b0f64b29.jpg	https://gamebanana.com/mods/250381	
p4g-nanakowatchesfamilyguy	mod	Nanako watches Family Guy	p4g32	Eclipsee	08/18/2020	Nanako Skin	Well, nobody asked for it.		https://images.gamebanana.com/img/ss/mods/5f3c56dbbec65.jpg	https://gamebanana.com/mods/250380	
p4g-chiefromdrakeandjoshwinteroutfitsonly	mod	Chie from Drake and Josh (winter outfits only)	p4g32	arelevantname	07/27/2020	Chie Skin	Replaces Chie's winter outfits portraits with that one frame from drake and josh		https://images.gamebanana.com/img/ss/mods/5f1e502b22d08.jpg	https://gamebanana.com/mods/250379	
p4g-chie-chanwantstohangout	mod	Chie-Chan Wants to Hang Out!	p4g32	SimonFoxcoon	08/21/2020	Chie Skin	i'm sorry lmao<br>She comes with all Summer uniform (glasses/no glasses) bustups with all expressions, dungeon/battle/field models and S.Link bustup.		https://images.gamebanana.com/img/ss/mods/5f3fb448488fd.jpg	https://gamebanana.com/mods/250378	
p4g-chieasstevefromminecraft	mod	Chie as Steve from Minecraft	p4g32	SeeEff	07/20/2020	Chie Skin	This modifies Chie's default dungeon costume as well as ALL of her sprites to be that of Steve from Minecraft. Chie Steveonaka, if you will. Unfortuna ...		https://images.gamebanana.com/img/ss/mods/5f1545bda366f.jpg	https://gamebanana.com/mods/250377	
p4g-chiesatonakaisasukalangleyschooloutfit	mod	Chie Satonaka is Asuka Langley (school outfit)	p4g32	tepiku.o	09/13/2020	Chie Skin	My first model mod, hope you like it.<br>Works with "Winter Yaso Outfit".		https://images.gamebanana.com/img/ss/mods/5f5d62eae4afd.jpg	https://gamebanana.com/mods/250376	
p4g-ninjaadachi	mod	Ninja Adachi	p4g32	arelevantname	07/11/2020	Adachi Skin	Replaces Adachi's textures and portraits with Ninja Adachi		https://images.gamebanana.com/img/ss/mods/5f09eaf71d3ac.jpg	https://gamebanana.com/mods/250374	
p4g-yoshikagekiramod	mod	Yoshikage Kira Mod	p4g32	BlingBlongBlong	07/31/2020	Adachi Skin	This mod replaces Tohru Adachi with Yoshikage Kira from Jojo's Bizarre Adventure Part 4	<b>Updated 07/31/2020</b>	https://images.gamebanana.com/img/ss/mods/5f231caf64284.jpg	https://gamebanana.com/mods/250373	
p4g-nanakoadachi	mod	Nanako Adachi	p4g32	KillJoyTails	07/16/2020	Adachi Skin	This mod literally replaces all of Adachi models with Nanako's. She sort of just slides around, so enjoy? Also, if anyone wants to add on to this by r ...		https://images.gamebanana.com/img/ss/mods/5f108a35b0d36.jpg	https://gamebanana.com/mods/250372	
p4g-shaggyadachi	mod	Shaggy Adachi?	p4g32	arelevantname	08/19/2020	Adachi Skin	Changes Adachi's textures and portraits to something thats supposed to represent shaggy from scooby doo		https://images.gamebanana.com/img/ss/mods/5f3c9d231f470.jpg	https://gamebanana.com/mods/250371	
p4g-kanjibeatsshadowstodeathwithatv	mod	Kanji Beats Shadows to Death With a TV	p4g32	SeaGuardian	10/11/2020	Kanji Skin	This mod replaces all of Kanji Tatsumi's weapons with a flat screen TV.<br><br>The TV model was sourced from the game itself; it is the same TV as seen in J ...	<b>Updated 10/11/2020</b>	https://images.gamebanana.com/img/ss/mods/5f83940ef0eb4.jpg	https://gamebanana.com/mods/250369	
p4g-likulaukanji	mod	Likulau Kanji	p4g32	Yosuke Hanamura	08/27/2020	Kanji Skin	THE SPRITES IN THIS MOD ARE NOT MINE. ALL CREDIT GOES TO THE CREATORS AND PUBLISHERS OF NEKOJISHI.<br><br>This mod replaces every Kanji bustup sprite in the ...		https://images.gamebanana.com/img/ss/mods/5f47f4f69d120.jpg	https://gamebanana.com/mods/250368	
p4g-kanjiasamadscientist	mod	Kanji as a Mad Scientist	p4g32	01737_L	07/06/2020	Kanji Skin	Changes "Kingpin Duster" color scheme to match the colors from Okabe Rintarou from Steins;Gate. Also changes the costume's  description.<br><br>Just drop th ...		https://images.gamebanana.com/img/ss/mods/5f036ee55a65a.jpg	https://gamebanana.com/mods/250367	
p4g-hiimdaisyportraits	mod	Hiimdaisy Portraits	p4g32	FloppyRichard	07/18/2020	Yu Skin	replaces the party's portraits with certain panels from the hiimdaisy comic		https://images.gamebanana.com/img/ss/mods/5f12d77d2e8f5.jpg	https://gamebanana.com/mods/250366	
p4g-jokerwarseneraoul	mod	Joker w/ Arsene & Raoul	p4g32	Saitsu	08/05/2020	Yu Skin	If you downloaded the mod before, and for some reason you only got the Raoul folder, the download has been fixed.<br><br>First release of the Joker & his Pe ...		https://images.gamebanana.com/img/ss/mods/5f2ad295ee925.jpg	https://gamebanana.com/mods/250365	
p4g-demi-fiendreskinftdante	mod	Demi-Fiend Reskin ft Dante	p4g32	Tekka	11/07/2020	Yu Skin	Inspired by the upcoming release of Nocturne HD Remaster.  Replaces Yu's Cool Trunks outfit with Demi-Fiend and Kanji's Kingpin Duster outfit with Dan ...	<b>Updated 11/07/2020</b>	https://images.gamebanana.com/img/ss/mods/5f869217f3492.jpg	https://gamebanana.com/mods/250364	
p4g-pq2panels	mod	PQ2 Panels	p4g32	kzkz	07/13/2020	Yu Skin	Just ported the in battle portraits/panel images from pq2 to p4g<br>Enjoy!		https://images.gamebanana.com/img/ss/mods/5f0c9c6eb53d8.jpg	https://gamebanana.com/mods/250363	
p4g-smtskins	mod	SMT skins	p4g32	Macadelics	10/12/2020	Yu Skin	skins i made to replace some of the base models, mainly ported from p5.<br>replaces these outfits.<br>Summer Clothes - Demonica outfit (P5R/StrangeJourney)<br> ...	<b>Updated 10/12/2020</b>	https://images.gamebanana.com/img/ss/mods/5f640368a1ffe.jpg	https://gamebanana.com/mods/250362	
p4g-giornogiovanna-themedyu	mod	Giorno Giovanna-themed Yu	p4g32	AGhostsPumpkinSoup	06/23/2020	Yu Skin	This mod replaces the "Summer Yaso Outfit" with a color scheme based on Giorno Giovanna from JoJo's Bizzare Adventure. The Persona Card has Giorno's L ...		https://images.gamebanana.com/img/ss/mods/5ef14c912cd04.jpg	https://gamebanana.com/mods/250361	
p4g-nagitokomaedainspiredyunarukami	mod	Nagito Komaeda inspired Yu Narukami	p4g32	JordanTheWizard	07/17/2020	Yu Skin	This mod replaces Yu Narukami's default costume with Nagito Komaeda's costume from Danganronpa 2 Goodbye Despair.<br><br>Comes with red glasses!		https://images.gamebanana.com/img/ss/mods/5f112069791ef.jpg	https://gamebanana.com/mods/250360	
p4g-dripyu	mod	Drip Yu	p4g32	JoltGanda	01/11/2021	Yu Skin	Silly Yu, you can't have dri-<br><br>As my first Persona 4 Golden mod, I regret this heavily, but also want people to know it's in a finished state.<br>(Intend ...		https://images.gamebanana.com/img/ss/mods/5ffcd02395d04.jpg	https://gamebanana.com/mods/250359	
p4g-sansoveryu	mod	Sans Over Yu	p4g32	GeckoNeko	07/28/2020	Yu Skin	So basically, Yu become Sans<br><br>You get to be the legend himself<br><br>Goes over Default Yu in battle		https://images.gamebanana.com/img/ss/mods/5f1fde2b9ef3f.jpg	https://gamebanana.com/mods/250358	
p4g-p3mcmod20	mod	P3MC Mod 2.0	p4g32	Pioziomgames	02/27/2021	Yu Skin	This mod is basically a port of DniweTamp's P5R P3MC Port to p4g.<br><br>This mod adds:<br><br>• P5R P3MC over Yu's default clothes <br><br>P5R P3MC without sees gear o ...	<b>Updated 02/27/2021</b>	https://images.gamebanana.com/img/ss/mods/602da1bc2bc02.jpg	https://gamebanana.com/mods/250357	
p4g-diooveryuswinteryasogamihighoutfit	mod	Dio Over Yu's Winter Yasogami High Outfit	p4g32	swindlesmccoop	07/25/2020	Yu Skin	Installation Instructions:<br>What you need:<br><br>• Windows 7/8.1/10<br>• The latest release of the Persona Mod Compendium (optional, but highly recommended)<br>•  ...		https://images.gamebanana.com/img/ss/mods/5f1c644dce6dd.jpg	https://gamebanana.com/mods/250355	
p4g-dripyualloutattackportrait	mod	Drip Yu All Out Attack Portrait	p4g32	Lergi	02/03/2021	Yu Skin	I really enjoy JoltGanda's Drip Yu mod, but I felt it was missing something. This mod is that something. This mod replaces either both Yu's Summer and ...		https://images.gamebanana.com/img/ss/mods/601b30aee50b9.jpg	https://gamebanana.com/mods/250354	
p4g-theonce-lercostumeforprotagonist	mod	The Once-Ler Costume for Protagonist	p4g32	MitsuoQuest	07/27/2020	Yu Skin	This is a mod that changes the protagonist's "Halloween Costume" into The Once-Ler's costume from The Lorax.<br><br>This is my first mod uploaded to the sit ...		https://images.gamebanana.com/img/ss/mods/5f1f5ed9a300e.jpg	https://gamebanana.com/mods/250353	
p4g-pokemontrainerredyu	mod	Pokemon Trainer Red Yu	p4g32	kzkz	07/16/2020	Yu Skin	Pokemon and Persona are quite similar, don't you think? Play as Trainer Red with this new mod!<br>Best used with the No Glasses Mod.		https://images.gamebanana.com/img/ss/mods/5f10e09258c17.jpg	https://gamebanana.com/mods/250352	
p4g-jacksontuckerasyumod	mod	Jackson Tucker as Yu Mod	p4g32	Seanlam	11/22/2020	Yu Skin	Jackson Tucker is an American actor, producer and environmentalist. He has often played unconventional roles, particularly in biopics and period films ...		https://images.gamebanana.com/img/ss/mods/5fbec36deba7f.jpg	https://gamebanana.com/mods/250351	
p4g-gordanfreemanyu	mod	Gordan Freeman Yu	p4g32	MadMax1960	01/03/2021	Yu Skin	Yu, but with hair highlights (totally intentional) and Gordan Freeman's HEV suit. The sword is a little wonky because P4GMOdelConverter was birthed fr ...		https://images.gamebanana.com/img/ss/mods/5ff22aa02753b.jpg	https://gamebanana.com/mods/250350	
p4g-p4gninjastorm	mod	P4G Ninja Storm	p4g32	Macadelics	04/26/2021	Yu Skin	my first attempt making a mod for yosuke.  i still need to fix yosuke open chest and weapon bone names.<br><br>*Updated: Now has featherman victory animatio ...	<b>Updated 04/26/2021</b>	https://images.gamebanana.com/img/ss/mods/606f933d1a325.jpg	https://gamebanana.com/mods/250349	
p4g-p4grpm	mod	P4G RPM	p4g32	Macadelics	04/09/2021	Yu Skin	this replaces the goofy gag summer outfit<br><br>*updated: now has featherman victory animation*	<b>Updated 04/09/2021</b>	https://images.gamebanana.com/img/ss/mods/6065249e02701.jpg	https://gamebanana.com/mods/250347	
p4g-gobustersoutfits	mod	Go Busters Outfits	p4g32	Macadelics	04/26/2021	Yu Skin	These outfits replace the agent outfits for Yu, Kanji, and chie	<b>Updated 04/26/2021</b>	https://images.gamebanana.com/img/ss/mods/6084e67134414.jpg	https://gamebanana.com/mods/250345	
p4g-chibinaotoovernaotossprites	mod	Chibi Naoto over Naoto's sprites	p4g32	BlingBlongBlong	08/05/2020	Naoto Skin	This mod replaces all of Naoto's sprites with Chibi Naoto from Blazblue: Cross Tag Battle		https://images.gamebanana.com/img/ss/mods/5f2a8fe320963.jpg	https://gamebanana.com/mods/250344	
p4g-chibinaoto	mod	Chibi Naoto	p4g32	Saitsu	07/16/2020	Naoto Skin	YOU NEED TO UPDATE TO THE BETA VERSION FOR THIS MOD TO WORK.<br><br>Naoto but it's Chibi Naoto from BBTag and she's over her winter clothes.		https://images.gamebanana.com/img/ss/mods/5f0fce3d33c5e.jpg	https://gamebanana.com/mods/250343	
p4g-akechinaotooutfit	mod	Akechi Naoto Outfit	p4g32	MadMax1960	06/22/2020	Naoto Skin	This goes over her Agent Skin, comes with one that changes her hair color to Akechi's, and one that doesn't. <br><br>Put the extracted contents of whichever ...		https://images.gamebanana.com/img/ss/mods/5ef10ceb68843.jpg	https://gamebanana.com/mods/250342	
p4g-hatlessnoglassesnaoto	mod	Hatless/No Glasses Naoto	p4g32	MadMax1960	06/21/2020	Naoto Skin	It's just Naoto without her glasses or hat.<br><br>2 Versions, one for Naoto with hat and no glasses, and one for Naoto without either.<br><br>Just drop the extra ...		https://images.gamebanana.com/img/ss/mods/5eefecbdeeb99.jpg	https://gamebanana.com/mods/250341	
p4g-vibingnaotomod	mod	Vibing Naoto Mod	p4g32	MadMax1960	01/11/2021	Naoto Skin	Vibin Naoto, but Rigged! Includes 2 versions, a Naoto sized version, and a Vibing Naoto sized version, and includes Ui!<br><br>Summer School Outfit - Vibing ...		https://images.gamebanana.com/img/ss/mods/5ffccb16b2f79.jpg	https://gamebanana.com/mods/250340	
p4g-naotoovergunmodel	mod	Naoto over gun model	p4g32	BlingBlongBlong	07/29/2020	Naoto Skin	This mod replaces all of Naoto's guns and Persona's with Casual Summer Outfit Naoto		https://images.gamebanana.com/img/ss/mods/5f21bf4358634.jpg	https://gamebanana.com/mods/250339	
p4g-igavenaotoabanana	mod	I gave Naoto A banana	p4g32	addpar	01/15/2021	Naoto Skin	Mod that replaces all of naoto's guns with a banana.<br><br>The guns also have new names... some are better than others.<br><br>This is my first mod, I have to li ...		https://images.gamebanana.com/img/ss/mods/60015f9cb07ae.jpg	https://gamebanana.com/mods/250338	
p4g-lokifrompersona5	mod	Loki from Persona 5	p4g32	Saitsu	07/26/2020	Persona Skin	Loki backported from Persona 5, replaces the Loki already in the game.		https://images.gamebanana.com/img/ss/mods/5f1d6891e4a9b.jpg	https://gamebanana.com/mods/250337	
p4g-smolpersonas	mod	Smol Personas	p4g32	InnocentArtCat	05/13/2022	Persona Skin	I decided to start a Project where i make my own Persona Portraits in a cute style. however i don't know how far i'm gonna take this so i don't know i ...	<b>Updated 05/13/2022</b>	https://images.gamebanana.com/img/ss/mods/5f49fddb310b5.jpg	https://gamebanana.com/mods/250336	
p4g-obamiumoveralilat	mod	Obamium over Alilat	p4g32	MitsuoQuest	08/05/2020	Persona Skin	Bad meme, bad mod. I don't care.		https://images.gamebanana.com/img/ss/mods/5f2b3d8ee7379.jpg	https://gamebanana.com/mods/250335	
p4g-magatsu-izanagi-no-okami	mod	Magatsu-Izanagi-no-Okami	p4g32	Saitsu	07/20/2020	Persona Skin	Made this design by myself, of course, it's based on Magatsu-Izanagi.<br><br>The mod replaces Izanagi-no-Okami		https://images.gamebanana.com/img/ss/mods/5f15777ab1843.jpg	https://gamebanana.com/mods/250334	
p4g-izanagimagatsu-izanagipicaro	mod	Izanagi & Magatsu-Izanagi Picaro	p4g32	Saitsu	07/19/2020	Persona Skin	Izanagi and Magatsu-Izanagi Picaro from Persona 5.<br><br>They replace normal Izanagi and Magatsu-Izanagi.<br><br>If you only want one of them, go into the mod fi ...		https://images.gamebanana.com/img/ss/mods/5f1472f6dd3a7.jpg	https://gamebanana.com/mods/250333	
p4g-nyxavataroveryoshitsune	mod	Nyx Avatar Over Yoshitsune	p4g32	Tupelov	07/16/2020	Persona Skin	Replaces Yoshitsunes Model with Nyx Avatar		https://images.gamebanana.com/img/ss/mods/5f104d9aa08ba.jpg	https://gamebanana.com/mods/250332	
p4g-messiah	mod	Messiah	p4g32	MadMax1960	07/17/2020	Persona Skin	Goes over Vishnuu <br><br>Animations fixed and resized		https://images.gamebanana.com/img/ss/mods/5f1234bcc5b69.jpg	https://gamebanana.com/mods/250331	
p4g-velvetyoshitune	mod	Velvet Yoshitune	p4g32	MadMax1960	06/28/2020	Persona Skin	Velvet Themed Yoshitune, comes with all the UI needed.<br><br>Included White and Black Hair variants.		https://images.gamebanana.com/img/ss/mods/5ef80ed0939a2.jpg	https://gamebanana.com/mods/250330	
